	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0052	85FD	D333C4	-34.9983	-0.699965	0.907035	n/a	9E8956	-76.1434	-1.522868	0.084132	n/a	
0053	85FD	D38E49	-34.7220	-0.694440	0.912560	n/a	9E893B	-76.1437	-1.522874	0.084126	n/a	
0054	85FD	D3E644	-34.4535	-0.689071	0.917929	n/a	9E8923	-76.1440	-1.522880	0.084120	n/a	
0055	85FD	D43E05	-34.1857	-0.683714	0.923286	n/a	9E895A	-76.1433	-1.522867	0.084133	n/a	
0056	85FD	D49459	-33.9223	-0.678445	0.928555	n/a	9E8914	-76.1442	-1.522883	0.084117	n/a	
0057	85FD	D4E8F8	-33.6640	-0.673281	0.933719	n/a	9E88ED	-76.1446	-1.522893	0.084107	n/a	
0058	85FD	D53B48	-33.4128	-0.668257	0.938743	n/a	9E88E2	-76.1448	-1.522895	0.084105	n/a	
0059	85FD	D58D48	-33.1626	-0.663252	0.943748	n/a	9E8828	-76.1470	-1.522940	0.084060	n/a	
0060	85FD	D5DE01	-32.9162	-0.658325	0.948675	n/a	9E8911	-76.1442	-1.522884	0.084116	n/a	
0061	85FD	D62D26	-32.6747	-0.653494	0.953506	n/a	9E897F	-76.1429	-1.522858	0.084142	n/a	
0062	85FD	D67A82	-32.4386	-0.648773	0.958227	n/a	9E8948	-76.1435	-1.522871	0.084129	n/a	
0063	85FD	D6C6EA	-32.2055	-0.644109	0.962891	n/a	9E896D	-76.1431	-1.522862	0.084138	n/a	
0064	85FD	D711FF	-31.9763	-0.639526	0.967474	n/a	9E899D	-76.1425	-1.522851	0.084149	n/a	
0065	85FD	D75C44	-31.7497	-0.634993	0.972007	n/a	9E89BE	-76.1421	-1.522843	0.084157	n/a	
0066	85FD	D7A470	-31.5294	-0.630588	0.976412	n/a	9E8943	-76.1436	-1.522872	0.084128	n/a	
0067	85FD	D7EBBE	-31.3118	-0.626236	0.980764	n/a	9E8948	-76.1435	-1.522871	0.084129	n/a	
0068	85FD	D831F1	-31.0976	-0.621952	0.985048	n/a	9E894D	-76.1435	-1.522870	0.084130	n/a	
0069	85FD	D877C5	-30.8845	-0.617690	0.989310	n/a	9E892A	-76.1439	-1.522878	0.084122	n/a	
0070	85FD	D8BB70	-30.6780	-0.613560	0.993440	n/a	9E8972	-76.1430	-1.522861	0.084139	n/a	
0071	85FD	D8FEF6	-30.4719	-0.609438	0.997562	n/a	9E89B3	-76.1423	-1.522845	0.084155	n/a	
0072	85FD	D94055	-30.2724	-0.605448	1.001552	n/a	9E89BB	-76.1422	-1.522844	0.084156	n/a	
0073	85FD	D98146	-30.0742	-0.601485	1.005515	n/a	9E89BD	-76.1422	-1.522843	0.084157	n/a	
0074	85FD	D9C0ED	-29.8800	-0.597600	1.009400	n/a	9E89E9	-76.1416	-1.522833	0.084167	n/a	
0075	85FD	DA0018	-29.6872	-0.593744	1.013256	n/a	9E8978	-76.1430	-1.522860	0.084140	n/a	
0076	85FD	DA3D99	-29.4995	-0.589990	1.017010	n/a	9E8924	-76.1440	-1.522880	0.084120	n/a	
0077	85FD	DA7A6E	-29.3139	-0.586277	1.020723	n/a	9E88F6	-76.1445	-1.522891	0.084109	n/a	
0078	85FD	DAB5D3	-29.1326	-0.582652	1.024348	n/a	9E897A	-76.1430	-1.522859	0.084141	n/a	
0079	85FD	DAF00B	-28.9549	-0.579099	1.027901	n/a	9E89B7	-76.1422	-1.522844	0.084156	n/a	
0080	85FD	DB29C6	-28.7788	-0.575575	1.031425	n/a	9E8940	-76.1436	-1.522873	0.084127	n/a	
0081	85FD	DB62B0	-28.6051	-0.572101	1.034899	n/a	9E8957	-76.1434	-1.522867	0.084133	n/a	
0082	85FD	DB9A77	-28.4349	-0.568697	1.038303	n/a	9E891E	-76.1440	-1.522881	0.084119	n/a	
0083	85FD	DBD1A2	-28.2665	-0.565330	1.041670	n/a	9E8959	-76.1433	-1.522867	0.084133	n/a	
0084	85FD	DC0816	-28.1003	-0.562006	1.044994	n/a	9E896C	-76.1431	-1.522862	0.084138	n/a	
0085	85FD	DC3D78	-27.9374	-0.558748	1.048252	n/a	9E894B	-76.1435	-1.522870	0.084130	n/a	
0086	85FD	DC71A5	-27.7782	-0.555564	1.051436	n/a	9E8970	-76.1431	-1.522861	0.084139	n/a	
0087	85FD	DCA582	-27.6199	-0.552398	1.054602	n/a	9E89C6	-76.1420	-1.522841	0.084159	n/a	
0088	85FD	DCD8B1	-27.4637	-0.549274	1.057726	n/a	9E8911	-76.1442	-1.522884	0.084116	n/a	
0089	85FD	DD0B67	-27.3089	-0.546179	1.060821	n/a	9E891E	-76.1440	-1.522881	0.084119	n/a	
0090	85FD	DD3D23	-27.1572	-0.543143	1.063857	n/a	9E89C0	-76.1421	-1.522842	0.084158	n/a	
0091	85FD	DD6DB0	-27.0090	-0.540180	1.066820	n/a	9E893B	-76.1437	-1.522874	0.084126	n/a	
0092	85FD	DD9D30	-26.8640	-0.537281	1.069719	n/a	9E896B	-76.1431	-1.522863	0.084137	n/a	
0093	85FD	DDCC01	-26.7212	-0.534423	1.072577	n/a	9E895A	-76.1433	-1.522867	0.084133	n/a	
0094	85FD	DDFA55	-26.5798	-0.531596	1.075404	n/a	9E890A	-76.1443	-1.522886	0.084114	n/a	
0095	85FD	DE2813	-26.4402	-0.528804	1.078196	n/a	9E8955	-76.1434	-1.522868	0.084132	n/a	
0096	85FD	DE5554	-26.3021	-0.526042	1.080958	n/a	9E894E	-76.1435	-1.522870	0.084130	n/a	
0097	85FD	DE812F	-26.1683	-0.523365	1.083635	n/a	9E88E0	-76.1448	-1.522896	0.084104	n/a	
0098	85FD	DEAD35	-26.0339	-0.520678	1.086322	n/a	9E890F	-76.1442	-1.522885	0.084115	n/a	
0099	85FD	DED899	-25.9015	-0.518030	1.088970	n/a	9E88EC	-76.1446	-1.522893	0.084107	n/a	
0100	85FD	DF02AB	-25.7731	-0.515462	1.091538	n/a	9E891B	-76.1441	-1.522882	0.084118	n/a	
0101	85FD	DF2C9A	-25.6451	-0.512903	1.094097	n/a	9E8906	-76.1443	-1.522887	0.084113	n/a	
0102	85FD	DF5587	-25.5202	-0.510405	1.096595	n/a	9E88D0	-76.1450	-1.522900	0.084100	n/a	
0103	85FD	DF7E9B	-25.3949	-0.507897	1.099103	n/a	9E8912	-76.1442	-1.522884	0.084116	n/a	
0104	85FD	DFA664	-25.2735	-0.505469	1.101531	n/a	9E8981	-76.1429	-1.522857	0.084143	n/a	
0105	85FD	DFCD76	-25.1542	-0.503084	1.103916	n/a	9E8958	-76.1434	-1.522867	0.084133	n/a	
0106	85FD	DFF46E	-25.0353	-0.500706	1.106294	n/a	9E8936	-76.1438	-1.522875	0.084125	n/a	
0107	85FD	E01A9F	-24.9187	-0.498375	1.108625	n/a	9E8944	-76.1436	-1.522872	0.084128	n/a	
0108	85FD	E04017	-24.8044	-0.496088	1.110912	n/a	9E8921	-76.1440	-1.522880	0.084120	n/a	
0109	85FD	E06551	-24.6908	-0.493816	1.113184	n/a	9E8978	-76.1430	-1.522860	0.084140	n/a	
0110	85FD	E08A29	-24.5784	-0.491567	1.115433	n/a	9E8989	-76.1428	-1.522855	0.084145	n/a	
0111	85FD	E0AE67	-24.4678	-0.489355	1.117645	n/a	9E899A	-76.1426	-1.522851	0.084149	n/a	
0112	85FD	E0D20F	-24.3589	-0.487179	1.119821	n/a	9E8945	-76.1436	-1.522872	0.084128	n/a	
0113	85FD	E0F404	-24.2553	-0.485106	1.121894	n/a	9E89B0	-76.1423	-1.522846	0.084154	n/a	
0114	85FD	E11754	-24.1475	-0.482951	1.124049	n/a	9E8933	-76.1438	-1.522876	0.084124	n/a	
0115	85FD	E139C7	-24.0424	-0.480848	1.126152	n/a	9E8955	-76.1434	-1.522868	0.084132	n/a	
0116	85FD	E15A9A	-23.9422	-0.478845	1.128155	n/a	9E892F	-76.1438	-1.522877	0.084123	n/a	
0117	85FD	E17C07	-23.8402	-0.476805	1.130195	n/a	9E8999	-76.1426	-1.522852	0.084148	n/a	
0118	85FD	E19CBF	-23.7404	-0.474808	1.132192	n/a	9E8982	-76.1429	-1.522857	0.084143	n/a	
