	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0000	
0001	85DD	FFFFFF	200.0000	4.000000	5.607000	n/a	9F0BEB	-75.7449	-1.514898	0.092102	n/a	
0002	85DD	9D2A2D	-77.2150	-1.544301	0.062699	n/a	9F0B81	-75.7461	-1.514923	0.092077	n/a	
0003	85DD	9D29C9	-77.2162	-1.544325	0.062675	n/a	9F0A9C	-75.7489	-1.514977	0.092023	n/a	
0004	85DD	9D29D4	-77.2161	-1.544322	0.062678	n/a	9F0B2C	-75.7472	-1.514943	0.092057	n/a	
0005	85DD	9D29B3	-77.2165	-1.544330	0.062670	n/a	9F0A5B	-75.7496	-1.514993	0.092007	n/a	
0006	85DD	9D278B	-77.2231	-1.544461	0.062539	n/a	9F09D6	-75.7512	-1.515025	0.091975	n/a	
0007	85DD	9D29A5	-77.2167	-1.544333	0.062667	n/a	9F0A12	-75.7505	-1.515010	0.091990	n/a	
0008	85DD	9D297E	-77.2171	-1.544342	0.062658	n/a	9F0A14	-75.7505	-1.515010	0.091990	n/a	
0009	85DD	9D28FA	-77.2187	-1.544374	0.062626	n/a	9F0AA8	-75.7487	-1.514975	0.092025	n/a	
0010	85DD	9D2A08	-77.2155	-1.544310	0.062690	n/a	9F0B28	-75.7472	-1.514944	0.092056	n/a	
0011	85DD	9D2A09	-77.2155	-1.544309	0.062691	n/a	9F0B1E	-75.7473	-1.514946	0.092054	n/a	
0012	85DD	9D2A13	-77.2153	-1.544307	0.062693	n/a	9F0B8E	-75.7460	-1.514920	0.092080	n/a	
0013	85DD	9D29C8	-77.2162	-1.544325	0.062675	n/a	9F0B9C	-75.7458	-1.514916	0.092084	n/a	
0014	85DD	9D2970	-77.2173	-1.544346	0.062654	n/a	9F0B79	-75.7462	-1.514925	0.092075	n/a	
0015	85DD	9D2933	-77.2180	-1.544360	0.062640	n/a	9F0BAD	-75.7456	-1.514912	0.092088	n/a	
0016	85DD	9D2954	-77.2176	-1.544352	0.062648	n/a	9F0B39	-75.7470	-1.514940	0.092060	n/a	
0017	85DD	9D29B6	-77.2165	-1.544329	0.062671	n/a	9F0AF9	-75.7478	-1.514955	0.092045	n/a	
0018	85DD	9D29B4	-77.2165	-1.544330	0.062670	n/a	9F0B3E	-75.7469	-1.514939	0.092061	n/a	
0019	85DD	9D2988	-77.2170	-1.544340	0.062660	n/a	9F0B54	-75.7467	-1.514934	0.092066	n/a	
0020	85DD	9D29C0	-77.2163	-1.544327	0.062673	n/a	9F0ADD	-75.7481	-1.514962	0.092038	n/a	
0021	85DD	9D2976	-77.2172	-1.544344	0.062656	n/a	9F0B4A	-75.7468	-1.514936	0.092064	n/a	
0022	85DD	9D29D8	-77.2161	-1.544321	0.062679	n/a	9F0B47	-75.7468	-1.514937	0.092063	n/a	
0023	85DD	9D29B6	-77.2165	-1.544329	0.062671	n/a	9F0B1E	-75.7473	-1.514946	0.092054	n/a	
0024	85DD	9D297F	-77.2171	-1.544342	0.062658	n/a	9F0AC0	-75.7484	-1.514969	0.092031	n/a	
0025	85DD	9D29F8	-77.2157	-1.544313	0.062687	n/a	9F0AF7	-75.7478	-1.514956	0.092044	n/a	
0026	85DD	9D29B7	-77.2164	-1.544329	0.062671	n/a	9F0AE0	-75.7481	-1.514961	0.092039	n/a	
0027	85DD	9D2949	-77.2178	-1.544355	0.062645	n/a	9F0B1F	-75.7473	-1.514946	0.092054	n/a	
0028	85DD	9D2958	-77.2176	-1.544352	0.062648	n/a	9F0AE3	-75.7480	-1.514960	0.092040	n/a	
0029	85DD	9D2917	-77.2184	-1.544367	0.062633	n/a	9F0A82	-75.7492	-1.514984	0.092016	n/a	
0030	85DD	9D29AB	-77.2166	-1.544332	0.062668	n/a	9F0A83	-75.7492	-1.514983	0.092017	n/a	
0031	85DD	9D2A05	-77.2155	-1.544310	0.062690	n/a	9F0AA8	-75.7487	-1.514975	0.092025	n/a	
0032	85DD	9D298A	-77.2170	-1.544340	0.062660	n/a	9F0AAC	-75.7487	-1.514974	0.092026	n/a	
0033	85DD	9D2941	-77.2179	-1.544357	0.062643	n/a	9F0A4C	-75.7498	-1.514996	0.092004	n/a	
0034	85DD	9D2867	-77.2204	-1.544409	0.062591	n/a	9F09DA	-75.7512	-1.515024	0.091976	n/a	
0035	85DD	9D28A0	-77.2198	-1.544395	0.062605	n/a	9F09F2	-75.7509	-1.515018	0.091982	n/a	
0036	85DD	9D2888	-77.2201	-1.544401	0.062599	n/a	9F0A21	-75.7503	-1.515007	0.091993	n/a	
0037	85DD	9D2814	-77.2214	-1.544429	0.062571	n/a	9F09D0	-75.7513	-1.515026	0.091974	n/a	
0038	85DD	9D28A1	-77.2198	-1.544395	0.062605	n/a	9F0A0D	-75.7506	-1.515011	0.091989	n/a	
0039	85DD	9D284E	-77.2207	-1.544415	0.062585	n/a	9F090B	-75.7537	-1.515073	0.091927	n/a	
0040	85DD	9D287C	-77.2202	-1.544404	0.062596	n/a	9F092E	-75.7532	-1.515065	0.091935	n/a	
0041	85DD	9D2842	-77.2209	-1.544418	0.062582	n/a	9F0957	-75.7527	-1.515055	0.091945	n/a	
0042	85DD	9D2866	-77.2205	-1.544409	0.062591	n/a	9F0938	-75.7531	-1.515062	0.091938	n/a	
