	Guage compr	TC Amp 2					TC Amp 3					
0043	85DD	9D281A	-77.2214	-1.544427	0.062573	n/a	9F09A9	-75.7518	-1.515035	0.091965	n/a	
0044	85DD	9D289B	-77.2198	-1.544397	0.062603	n/a	9F0923	-75.7534	-1.515067	0.091933	n/a	
0045	85DD	9D2805	-77.2216	-1.544432	0.062568	n/a	9F099F	-75.7519	-1.515038	0.091962	n/a	
0046	85DD	9D28C1	-77.2194	-1.544388	0.062612	n/a	9F092D	-75.7532	-1.515065	0.091935	n/a	
0047	85DD	9D2866	-77.2205	-1.544409	0.062591	n/a	9F098C	-75.7521	-1.515042	0.091958	n/a	
0048	85DD	9D28EF	-77.2188	-1.544377	0.062623	n/a	9F09C2	-75.7515	-1.515029	0.091971	n/a	
0049	85DD	9D288F	-77.2200	-1.544399	0.062601	n/a	9F09AD	-75.7517	-1.515034	0.091966	n/a	
0050	85DD	9D2826	-77.2212	-1.544424	0.062576	n/a	9F0982	-75.7522	-1.515045	0.091955	n/a	
0051	85DD	9D2883	-77.2201	-1.544402	0.062598	n/a	9F091D	-75.7534	-1.515069	0.091931	n/a	
0052	85DD	9D281B	-77.2214	-1.544427	0.062573	n/a	9F0940	-75.7530	-1.515060	0.091940	n/a	
0053	85DD	9D3BE6	-77.1610	-1.543219	0.063781	n/a	9F0912	-75.7536	-1.515071	0.091929	n/a	
0054	85DD	9D6B24	-77.0168	-1.540336	0.066664	n/a	9F08F5	-75.7539	-1.515078	0.091922	n/a	
0055	85DD	9D9C3E	-76.8669	-1.537339	0.069661	n/a	9F099A	-75.7519	-1.515039	0.091961	n/a	
0056	85DD	9DCEA5	-76.7131	-1.534262	0.072738	n/a	9F08FA	-75.7539	-1.515077	0.091923	n/a	
0057	85DD	9E044C	-76.5494	-1.530988	0.076012	n/a	9F093A	-75.7531	-1.515062	0.091938	n/a	
0058	85DD	9E3BF8	-76.3795	-1.527590	0.079410	n/a	9F0947	-75.7529	-1.515059	0.091941	n/a	
0059	85FD	9E8A50	-76.1404	-1.522808	0.084192	n/a	9F084D	-75.7559	-1.515118	0.091882	n/a	
0060	85FD	9EC711	-75.9550	-1.519100	0.087900	n/a	9F0819	-75.7565	-1.515131	0.091869	n/a	
0061	85FD	9F059F	-75.7641	-1.515282	0.091718	n/a	9F08AC	-75.7548	-1.515096	0.091904	n/a	
0062	85FD	9F4633	-75.5670	-1.511340	0.095660	n/a	9F0851	-75.7559	-1.515117	0.091883	n/a	
0063	85FD	9F8912	-75.3629	-1.507259	0.099741	n/a	9F0873	-75.7555	-1.515109	0.091891	n/a	
0064	85FD	9FCE46	-75.1518	-1.503035	0.103965	n/a	9F0867	-75.7556	-1.515112	0.091888	n/a	
0065	85FD	A0160B	-74.9327	-1.498655	0.108345	n/a	9F08C5	-75.7545	-1.515090	0.091910	n/a	
0066	85FD	A05EA7	-74.7111	-1.494223	0.112777	n/a	9F08CB	-75.7544	-1.515088	0.091912	n/a	
0067	85FD	A0AA2C	-74.4807	-1.489613	0.117387	n/a	9F0873	-75.7555	-1.515109	0.091891	n/a	
0068	85FD	A0F719	-74.2459	-1.484918	0.122082	n/a	9F07B7	-75.7577	-1.515154	0.091846	n/a	
0069	85FD	A1457D	-74.0067	-1.480134	0.126866	n/a	9F07F5	-75.7570	-1.515139	0.091861	n/a	
0070	85FD	A1975C	-73.7568	-1.475137	0.131863	n/a	9F0780	-75.7584	-1.515167	0.091833	n/a	
0071	85FD	A1E902	-73.5077	-1.470153	0.136847	n/a	9F072C	-75.7594	-1.515187	0.091813	n/a	
0072	85FD	A23D63	-73.2502	-1.465003	0.141997	n/a	9F079C	-75.7580	-1.515161	0.091839	n/a	
0073	85FD	A292A9	-72.9899	-1.459799	0.147201	n/a	9F0765	-75.7587	-1.515174	0.091826	n/a	
0074	85FD	A2EAAC	-72.7213	-1.454427	0.152573	n/a	9F078A	-75.7582	-1.515165	0.091835	n/a	
0075	85FD	A344F8	-72.4458	-1.448915	0.158085	n/a	9F0762	-75.7587	-1.515174	0.091826	n/a	
0076	85FD	A39E31	-72.1735	-1.443470	0.163530	n/a	9F0778	-75.7585	-1.515169	0.091831	n/a	
0077	85FD	A3F9E1	-71.8937	-1.437874	0.169126	n/a	9F0735	-75.7593	-1.515185	0.091815	n/a	
0078	85FD	A4569C	-71.6107	-1.432214	0.174786	n/a	9F0759	-75.7588	-1.515176	0.091824	n/a	
0079	85FD	A4B53C	-71.3219	-1.426438	0.180562	n/a	9F0771	-75.7585	-1.515171	0.091829	n/a	
0080	85FD	A51586	-71.0281	-1.420561	0.186439	n/a	9F072C	-75.7594	-1.515187	0.091813	n/a	
0081	85FD	A57675	-70.7322	-1.414645	0.192355	n/a	9F077D	-75.7584	-1.515168	0.091832	n/a	
0082	85FD	A5D8F1	-70.4317	-1.408634	0.198366	n/a	9F0795	-75.7581	-1.515162	0.091838	n/a	
0083	85FD	A63D4E	-70.1254	-1.402508	0.204492	n/a	9F07A2	-75.7580	-1.515159	0.091841	n/a	
0084	85FD	A6A169	-69.8199	-1.396398	0.210602	n/a	9F0779	-75.7584	-1.515169	0.091831	n/a	
0085	85FD	A706C9	-69.5105	-1.390211	0.216789	n/a	9F0772	-75.7585	-1.515171	0.091829	n/a	
0086	85FD	A76D21	-69.1982	-1.383964	0.223036	n/a	9F07D3	-75.7574	-1.515147	0.091853	n/a	
0087	85FD	A7D4C4	-68.8819	-1.377639	0.229361	n/a	9F07E3	-75.7572	-1.515144	0.091856	n/a	
0088	85FD	A83D6D	-68.5625	-1.371251	0.235749	n/a	9F07C0	-75.7576	-1.515152	0.091848	n/a	
0089	85FD	A8A63E	-68.2427	-1.364853	0.242147	n/a	9F07A3	-75.7579	-1.515159	0.091841	n/a	
0090	85FD	A90FBB	-67.9207	-1.358415	0.248585	n/a	9F0814	-75.7566	-1.515132	0.091868	n/a	
0091	85FD	A97B4C	-67.5925	-1.351849	0.255151	n/a	9F0801	-75.7568	-1.515136	0.091864	n/a	
0092	85FD	A9E5BF	-67.2676	-1.345352	0.261648	n/a	9F07AA	-75.7579	-1.515157	0.091843	n/a	
0093	85FD	AA51CC	-66.9379	-1.338757	0.268243	n/a	9F0757	-75.7588	-1.515177	0.091823	n/a	
0094	85FD	AABE5F	-66.6065	-1.332131	0.274869	n/a	9F0798	-75.7581	-1.515161	0.091839	n/a	
0095	85FD	AB2B6C	-66.2737	-1.325475	0.281525	n/a	9F0783	-75.7583	-1.515166	0.091834	n/a	
0096	85FD	AB9981	-65.9378	-1.318756	0.288244	n/a	9F073F	-75.7591	-1.515183	0.091817	n/a	
0097	85FD	AC078F	-65.6019	-1.312039	0.294961	n/a	9F0798	-75.7581	-1.515161	0.091839	n/a	
0098	85FD	AC7615	-65.2646	-1.305293	0.301707	n/a	9F072A	-75.7594	-1.515188	0.091812	n/a	
0099	85FD	ACE611	-64.9229	-1.298458	0.308542	n/a	9F0765	-75.7587	-1.515174	0.091826	n/a	
0100	85FD	AD53D3	-64.5879	-1.291759	0.315241	n/a	9F0752	-75.7589	-1.515178	0.091822	n/a	
0101	85FD	ADC3F7	-64.2457	-1.284914	0.322086	n/a	9F07BC	-75.7576	-1.515153	0.091847	n/a	
0102	85FD	AE33A3	-63.9049	-1.278098	0.328902	n/a	9F075D	-75.7588	-1.515176	0.091824	n/a	
0103	85FD	AEA3A8	-63.5631	-1.271261	0.335739	n/a	9F0755	-75.7589	-1.515177	0.091823	n/a	
0104	85FD	AF139B	-63.2214	-1.264428	0.342572	n/a	9F072E	-75.7593	-1.515187	0.091813	n/a	
0105	85FD	AF83DB	-62.8789	-1.257577	0.349423	n/a	9F078E	-75.7582	-1.515164	0.091836	n/a	
0106	85FD	AFF303	-62.5396	-1.250793	0.356207	n/a	9F07A5	-75.7579	-1.515158	0.091842	n/a	
0107	85FD	B0637F	-62.1964	-1.243927	0.363073	n/a	9F06A7	-75.7609	-1.515219	0.091781	n/a	
0108	85FD	B0D396	-61.8543	-1.237086	0.369914	n/a	9F075E	-75.7588	-1.515175	0.091825	n/a	
0109	85FD	B1438A	-61.5126	-1.230253	0.376747	n/a	9F06AE	-75.7609	-1.515217	0.091783	n/a	
0110	85FD	B1B3D8	-61.1699	-1.223398	0.383602	n/a	9F06D6	-75.7604	-1.515208	0.091792	n/a	
0111	85FD	B2238B	-60.8290	-1.216581	0.390419	n/a	9F075B	-75.7588	-1.515176	0.091824	n/a	
0112	85FD	B29252	-60.4910	-1.209819	0.397181	n/a	9F065C	-75.7618	-1.515237	0.091763	n/a	
0113	85FD	B301CB	-60.1508	-1.203015	0.403985	n/a	9F0666	-75.7617	-1.515234	0.091766	n/a	
0114	85FD	B3716A	-59.8101	-1.196203	0.410797	n/a	9F0671	-75.7616	-1.515232	0.091768	n/a	
0115	85FD	B3DF45	-59.4749	-1.189498	0.417502	n/a	9F06B0	-75.7608	-1.515217	0.091783	n/a	
0116	85FD	B44DBB	-59.1378	-1.182756	0.424244	n/a	9F0702	-75.7599	-1.515197	0.091803	n/a	
0117	85FD	B4BBD1	-58.8018	-1.176036	0.430964	n/a	9F06C1	-75.7606	-1.515213	0.091787	n/a	
0118	85FD	B52916	-58.4684	-1.169367	0.437633	n/a	9F0709	-75.7598	-1.515196	0.091804	n/a	
0119	85FD	B596B3	-58.1338	-1.162677	0.444323	n/a	9F0754	-75.7589	-1.515178	0.091822	n/a	
0120	85FD	B60250	-57.8054	-1.156109	0.450891	n/a	9F06FF	-75.7599	-1.515198	0.091802	n/a	
0121	85FD	B66ED0	-57.4743	-1.149486	0.457514	n/a	9F0673	-75.7616	-1.515231	0.091769	n/a	
0122	85FD	B6DA46	-57.1464	-1.142928	0.464072	n/a	9F06A8	-75.7609	-1.515219	0.091781	n/a	
0123	85FD	B74534	-56.8201	-1.136401	0.470599	n/a	9F070D	-75.7597	-1.515195	0.091805	n/a	
0124	85FD	B7AFAE	-56.4951	-1.129902	0.477098	n/a	9F0731	-75.7593	-1.515186	0.091814	n/a	
0125	85FD	B81907	-56.1736	-1.123472	0.483528	n/a	9F069F	-75.7610	-1.515221	0.091779	n/a	
0126	85FD	B882D9	-55.8507	-1.117014	0.489986	n/a	9F0658	-75.7619	-1.515238	0.091762	n/a	
0127	85FD	B8EB1D	-55.5325	-1.110650	0.496350	n/a	9F06EA	-75.7601	-1.515203	0.091797	n/a	
0128	85FD	B954CC	-55.2100	-1.104199	0.502801	n/a	9F06CE	-75.7605	-1.515210	0.091790	n/a	
0129	85FD	B9BAD2	-54.8986	-1.097972	0.509028	n/a	9F06A3	-75.7610	-1.515220	0.091780	n/a	
0130	85FD	BA20E1	-54.5872	-1.091743	0.515257	n/a	9F067B	-75.7615	-1.515229	0.091771	n/a	
0131	85FD	BA86CA	-54.2762	-1.085523	0.521477	n/a	9F06B9	-75.7607	-1.515215	0.091785	n/a	
0132	85FD	BAEC3B	-53.9666	-1.079332	0.527668	n/a	9F06FC	-75.7599	-1.515199	0.091801	n/a	
0133	85FD	BB4FDD	-53.6625	-1.073250	0.533750	n/a	9F063A	-75.7622	-1.515245	0.091755	n/a	
0134	85FD	BBB42F	-53.3564	-1.067127	0.539873	n/a	9F06B0	-75.7608	-1.515217	0.091783	n/a	
0135	85FD	BC167A	-53.0564	-1.061128	0.545872	n/a	9F065B	-75.7619	-1.515237	0.091763	n/a	
0136	85FD	BC7912	-52.7555	-1.055110	0.551890	n/a	9F06CE	-75.7605	-1.515210	0.091790	n/a	
0137	85FD	BCDA72	-52.4584	-1.049167	0.557833	n/a	9F067D	-75.7614	-1.515229	0.091771	n/a	
0138	85FD	BD3A92	-52.1650	-1.043300	0.563700	n/a	9F0668	-75.7617	-1.515234	0.091766	n/a	
0139	85FD	BD9A94	-51.8720	-1.037440	0.569560	n/a	9F064E	-75.7620	-1.515240	0.091760	n/a	
0140	85FD	BDFA52	-51.5798	-1.031597	0.575403	n/a	9F0602	-75.7629	-1.515258	0.091742	n/a	
0141	85FD	BE57D8	-51.2944	-1.025888	0.581112	n/a	9F05DB	-75.7634	-1.515268	0.091732	n/a	
0142	85FD	BEB4FA	-51.0102	-1.020204	0.586796	n/a	9F069C	-75.7611	-1.515222	0.091778	n/a	
0143	85FD	BF11A2	-50.7274	-1.014549	0.592451	n/a	9F069B	-75.7611	-1.515222	0.091778	n/a	
0144	85FD	BF6DD2	-50.4461	-1.008922	0.598078	n/a	9F061F	-75.7626	-1.515251	0.091749	n/a	
0145	85FD	BFC7F1	-50.1711	-1.003421	0.603579	n/a	9F05D1	-75.7635	-1.515270	0.091730	n/a	
0146	85FD	C022EE	-49.8934	-0.997868	0.609132	n/a	9F0696	-75.7611	-1.515223	0.091777	n/a	
0147	85FD	C07C36	-49.6209	-0.992419	0.614581	n/a	9F05EF	-75.7631	-1.515263	0.091737	n/a	
0148	85FD	C0D346	-49.3552	-0.987105	0.619895	n/a	9F067C	-75.7615	-1.515229	0.091771	n/a	
0149	85FD	C12B4A	-49.0866	-0.981733	0.625267	n/a	9F05F2	-75.7631	-1.515262	0.091738	n/a	
0150	85FD	C18278	-48.8206	-0.976412	0.630588	n/a	9F0629	-75.7624	-1.515249	0.091751	n/a	
0151	85FD	C1D845	-48.5587	-0.971175	0.635825	n/a	9F060F	-75.7628	-1.515255	0.091745	n/a	
0152	85FD	C22D28	-48.2997	-0.965994	0.641006	n/a	9F0662	-75.7618	-1.515235	0.091765	n/a	
0153	85FD	C28131	-48.0432	-0.960865	0.646135	n/a	9F05E4	-75.7633	-1.515265	0.091735	n/a	
0154	85FD	C2D499	-47.7887	-0.955774	0.651226	n/a	9F0678	-75.7615	-1.515230	0.091770	n/a	
0155	85FD	C3268E	-47.5386	-0.950772	0.656228	n/a	9F06CC	-75.7605	-1.515210	0.091790	n/a	
0156	85FD	C37899	-47.2882	-0.945764	0.661236	n/a	9F06B2	-75.7608	-1.515216	0.091784	n/a	
0157	85FD	C3C9DC	-47.0402	-0.940804	0.666196	n/a	9F064D	-75.7620	-1.515240	0.091760	n/a	
0158	85FD	C418C2	-46.7994	-0.935989	0.671011	n/a	9F05B2	-75.7639	-1.515277	0.091723	n/a	
0159	85FD	C467D5	-46.5581	-0.931162	0.675838	n/a	9F0633	-75.7623	-1.515247	0.091753	n/a	
0160	85FD	C4B60F	-46.3194	-0.926388	0.680612	n/a	9F0601	-75.7629	-1.515258	0.091742	n/a	
0161	85FD	C503E7	-46.0818	-0.921637	0.685363	n/a	9F05B2	-75.7639	-1.515277	0.091723	n/a	
0162	85FD	C550C3	-45.8473	-0.916946	0.690054	n/a	9F0688	-75.7613	-1.515226	0.091774	n/a	
0163	85FD	C59C01	-45.6177	-0.912353	0.694647	n/a	9F061B	-75.7626	-1.515252	0.091748	n/a	
0164	85FD	C5E6E8	-45.3891	-0.907781	0.699219	n/a	9F05EA	-75.7632	-1.515264	0.091736	n/a	
0165	85FD	C630C1	-45.1637	-0.903274	0.703726	n/a	9F0603	-75.7629	-1.515258	0.091742	n/a	
0166	85FD	C679BA	-44.9410	-0.898820	0.708180	n/a	9F05FD	-75.7630	-1.515259	0.091741	n/a	
0167	85FD	C6C2BE	-44.7182	-0.894364	0.712636	n/a	9F0676	-75.7615	-1.515231	0.091769	n/a	
0168	85FD	C70B41	-44.4969	-0.889938	0.717062	n/a	9F0635	-75.7623	-1.515246	0.091754	n/a	
0169	85FD	C7516B	-44.2828	-0.885656	0.721344	n/a	9F05E7	-75.7632	-1.515265	0.091735	n/a	
0170	85FD	C7975C	-44.0693	-0.881387	0.725613	n/a	9F05A5	-75.7640	-1.515280	0.091720	n/a	
0171	85FD	C7DD00	-43.8568	-0.877136	0.729864	n/a	9F0600	-75.7629	-1.515259	0.091741	n/a	
0172	85FD	C82214	-43.6460	-0.872920	0.734080	n/a	9F059C	-75.7641	-1.515283	0.091717	n/a	
0173	85FD	C865A8	-43.4398	-0.868795	0.738205	n/a	9F0558	-75.7649	-1.515299	0.091701	n/a	
0174	85FD	C8A850	-43.2363	-0.864727	0.742273	n/a	9F0622	-75.7625	-1.515251	0.091749	n/a	
0175	85FD	C8EAFD	-43.0329	-0.860657	0.746343	n/a	9F05CE	-75.7635	-1.515271	0.091729	n/a	
0176	85FD	C92C67	-42.8332	-0.856665	0.750335	n/a	9F05BE	-75.7637	-1.515274	0.091726	n/a	
0177	85FD	C96DD6	-42.6336	-0.852671	0.754329	n/a	9F05AD	-75.7639	-1.515279	0.091721	n/a	
0178	85FD	C9ADB9	-42.4386	-0.848772	0.758228	n/a	9F0576	-75.7646	-1.515292	0.091708	n/a	
0179	85FD	C9ED0B	-42.2453	-0.844907	0.762093	n/a	9F05D1	-75.7635	-1.515270	0.091730	n/a	
0180	85FD	CA2C10	-42.0530	-0.841061	0.765939	n/a	9F05AD	-75.7639	-1.515279	0.091721	n/a	
0181	85FD	CA69D1	-41.8646	-0.837291	0.769709	n/a	9F05EF	-75.7631	-1.515263	0.091737	n/a	
0182	85FD	CAA7DD	-41.6752	-0.833504	0.773496	n/a	9F05C6	-75.7636	-1.515273	0.091727	n/a	
0183	85FD	CAE41A	-41.4914	-0.829828	0.777172	n/a	9F051F	-75.7656	-1.515312	0.091688	n/a	
0184	85FD	CB200A	-41.3085	-0.826169	0.780831	n/a	9F0538	-75.7653	-1.515306	0.091694	n/a	
0185	85FD	CB5BD7	-41.1260	-0.822519	0.784481	n/a	9F0568	-75.7647	-1.515295	0.091705	n/a	
0186	85FD	CB96C8	-40.9461	-0.818922	0.788078	n/a	9F05A4	-75.7640	-1.515281	0.091719	n/a	
0187	85FD	CBCFAA	-40.7725	-0.815450	0.791550	n/a	9F0597	-75.7642	-1.515284	0.091716	n/a	
0188	85FD	CC0980	-40.5960	-0.811920	0.795080	n/a	9F059F	-75.7641	-1.515282	0.091718	n/a	
0189	85FD	CC4212	-40.4234	-0.808467	0.798533	n/a	9F058E	-75.7643	-1.515286	0.091714	n/a	
0190	85FD	CC7A1D	-40.2523	-0.805047	0.801953	n/a	9F0541	-75.7652	-1.515304	0.091696	n/a	
0191	85FD	CCB1F7	-40.0819	-0.801638	0.805362	n/a	9F0544	-75.7652	-1.515304	0.091696	n/a	
0192	85FD	CCE817	-39.9167	-0.798334	0.808666	n/a	9F05DC	-75.7634	-1.515267	0.091733	n/a	
0193	85FD	CD1E9D	-39.7503	-0.795006	0.811994	n/a	9F05EC	-75.7632	-1.515263	0.091737	n/a	
0194	85FD	CD5429	-39.5869	-0.791738	0.815262	n/a	9F05C6	-75.7636	-1.515273	0.091727	n/a	
0195	85FD	CD886D	-39.4274	-0.788548	0.818452	n/a	9F05BE	-75.7637	-1.515274	0.091726	n/a	
0196	85FD	CDBCDC	-39.2674	-0.785348	0.821652	n/a	9F0597	-75.7642	-1.515284	0.091716	n/a	
0197	85FD	CDF0AD	-39.1093	-0.782185	0.824815	n/a	9F057D	-75.7645	-1.515290	0.091710	n/a	
0198	85FD	CE23B3	-38.9535	-0.779071	0.827929	n/a	9F0556	-75.7650	-1.515299	0.091701	n/a	
0199	85FD	CE5623	-38.7996	-0.775992	0.831008	n/a	9F0580	-75.7645	-1.515289	0.091711	n/a	
0200	85FD	CE8842	-38.6467	-0.772933	0.834067	n/a	9F053A	-75.7653	-1.515306	0.091694	n/a	
0201	85FD	CEB9C3	-38.4956	-0.769912	0.837088	n/a	9F0589	-75.7644	-1.515287	0.091713	n/a	
0202	85FD	CEEA86	-38.3468	-0.766936	0.840064	n/a	9F04BD	-75.7668	-1.515336	0.091664	n/a	
0203	85FD	CF1A98	-38.2001	-0.764002	0.842998	n/a	9F04B6	-75.7669	-1.515337	0.091663	n/a	
0204	85FD	CF49F4	-38.0556	-0.761111	0.845889	n/a	9F053A	-75.7653	-1.515306	0.091694	n/a	
0205	85FD	CF794D	-37.9111	-0.758221	0.848779	n/a	9F051D	-75.7656	-1.515313	0.091687	n/a	
0206	85FD	CFA7BE	-37.7693	-0.755387	0.851613	n/a	9F053F	-75.7652	-1.515305	0.091695	n/a	
0207	85FD	CFD61D	-37.6278	-0.752556	0.854444	n/a	9F054E	-75.7651	-1.515301	0.091699	n/a	
0208	85FD	D00399	-37.4890	-0.749780	0.857220	n/a	9F0500	-75.7660	-1.515320	0.091680	n/a	
0209	85FD	D030AD	-37.3514	-0.747029	0.859971	n/a	9F058E	-75.7643	-1.515286	0.091714	n/a	
0210	85FD	D05DA7	-37.2142	-0.744284	0.862716	n/a	9F0544	-75.7652	-1.515304	0.091696	n/a	
0211	85FD	D0893D	-37.0812	-0.741623	0.865377	n/a	9F0519	-75.7657	-1.515314	0.091686	n/a	
0212	85FD	D0B518	-36.9473	-0.738947	0.868053	n/a	9F0562	-75.7648	-1.515296	0.091704	n/a	
0213	85FD	D0E037	-36.8157	-0.736315	0.870685	n/a	9F0526	-75.7655	-1.515311	0.091689	n/a	
0214	85FD	D10AE4	-36.6855	-0.733710	0.873290	n/a	9F051A	-75.7657	-1.515314	0.091686	n/a	
0215	85FD	D13619	-36.5536	-0.731073	0.875927	n/a	9F0567	-75.7648	-1.515295	0.091705	n/a	
0216	85FD	D15F3B	-36.4281	-0.728562	0.878438	n/a	9F04F2	-75.7662	-1.515323	0.091677	n/a	
0217	85FD	D188C9	-36.3013	-0.726026	0.880974	n/a	9F053E	-75.7652	-1.515305	0.091695	n/a	
0218	85FD	D1B194	-36.1768	-0.723536	0.883464	n/a	9F053C	-75.7653	-1.515305	0.091695	n/a	
0219	85FD	D1DA04	-36.0534	-0.721068	0.885932	n/a	9F056A	-75.7647	-1.515294	0.091706	n/a	
0220	85FD	D2023A	-35.9307	-0.718614	0.888386	n/a	9F0534	-75.7654	-1.515307	0.091693	n/a	
0221	85FD	D229AE	-35.8103	-0.716206	0.890794	n/a	9F0596	-75.7642	-1.515284	0.091716	n/a	
0222	85FD	D250FB	-35.6904	-0.713807	0.893193	n/a	9F050E	-75.7658	-1.515316	0.091684	n/a	
0223	85FD	D277DA	-35.5717	-0.711435	0.895565	n/a	9F0531	-75.7654	-1.515308	0.091692	n/a	
0224	85FD	D29E0D	-35.4552	-0.709103	0.897897	n/a	9F051A	-75.7657	-1.515314	0.091686	n/a	
0225	85FD	D2C45C	-35.3383	-0.706765	0.900235	n/a	9F0500	-75.7660	-1.515320	0.091680	n/a	
0226	85FD	D2EA1F	-35.2230	-0.704460	0.902540	n/a	9F047F	-75.7675	-1.515351	0.091649	n/a	
0227	85FD	D30F3D	-35.1097	-0.702195	0.904805	n/a	9F04D5	-75.7665	-1.515330	0.091670	n/a	
