	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0053	85AD	EC92CF	-15.1770	-0.30354	1.30346	n/a	EC953D	-15.1696	-0.30339	1.30361	n/a	
0054	85AD	EC92C5	-15.1771	-0.30354	1.30346	n/a	EC946D	-15.1720	-0.30344	1.30356	n/a	
0055	85AD	EC92E8	-15.1767	-0.30353	1.30347	n/a	EC9584	-15.1687	-0.30337	1.30363	n/a	
0056	85AD	EC9384	-15.1748	-0.30350	1.30350	n/a	EC951D	-15.1699	-0.30340	1.30360	n/a	
0057	85AD	EC942D	-15.1728	-0.30346	1.30354	n/a	EC93A5	-15.1744	-0.30349	1.30351	n/a	
0058	85AD	EC939B	-15.1745	-0.30349	1.30351	n/a	EC9488	-15.1717	-0.30343	1.30357	n/a	
0059	85AD	EC92AF	-15.1773	-0.30355	1.30345	n/a	EC951E	-15.1699	-0.30340	1.30360	n/a	
0060	85AD	EC934F	-15.1754	-0.30351	1.30349	n/a	EC94B1	-15.1712	-0.30342	1.30358	n/a	
0061	85AD	EC930C	-15.1762	-0.30352	1.30348	n/a	EC9510	-15.1701	-0.30340	1.30360	n/a	
0062	85AD	EC92C9	-15.1770	-0.30354	1.30346	n/a	EC9566	-15.1691	-0.30338	1.30362	n/a	
0063	85AD	EC9367	-15.1752	-0.30350	1.30350	n/a	EC9577	-15.1689	-0.30338	1.30362	n/a	
0064	85AD	EC92DD	-15.1768	-0.30354	1.30346	n/a	EC958F	-15.1686	-0.30337	1.30363	n/a	
0065	85AD	EC92DC	-15.1768	-0.30354	1.30346	n/a	EC9540	-15.1695	-0.30339	1.30361	n/a	
0066	85AD	EC9241	-15.1787	-0.30357	1.30343	n/a	EC9509	-15.1702	-0.30340	1.30360	n/a	
0067	85AD	EC92AA	-15.1774	-0.30355	1.30345	n/a	EC94E6	-15.1706	-0.30341	1.30359	n/a	
0068	85AD	EC92CB	-15.1770	-0.30354	1.30346	n/a	EC9519	-15.1700	-0.30340	1.30360	n/a	
0069	85AD	EC92AB	-15.1774	-0.30355	1.30345	n/a	EC957C	-15.1688	-0.30338	1.30362	n/a	
0070	85AD	EC9311	-15.1762	-0.30352	1.30348	n/a	EC957E	-15.1688	-0.30338	1.30362	n/a	
0071	85AD	EC9335	-15.1757	-0.30351	1.30349	n/a	EC958E	-15.1686	-0.30337	1.30363	n/a	
0072	85AD	EC939E	-15.1745	-0.30349	1.30351	n/a	EC9483	-15.1718	-0.30344	1.30356	n/a	
0073	85AD	EC92C4	-15.1771	-0.30354	1.30346	n/a	EC9618	-15.1669	-0.30334	1.30366	n/a	
0074	85AD	EC9407	-15.1732	-0.30346	1.30354	n/a	EC95AA	-15.1683	-0.30337	1.30363	n/a	
0075	85AD	EC937F	-15.1749	-0.30350	1.30350	n/a	EC95F8	-15.1673	-0.30335	1.30365	n/a	
0076	85AD	EC9370	-15.1750	-0.30350	1.30350	n/a	EC95BF	-15.1680	-0.30336	1.30364	n/a	
0077	85AD	EC934A	-15.1755	-0.30351	1.30349	n/a	EC9617	-15.1670	-0.30334	1.30366	n/a	
0078	85AD	EC93F7	-15.1734	-0.30347	1.30353	n/a	EC962A	-15.1667	-0.30333	1.30367	n/a	
0079	85AD	EC933D	-15.1757	-0.30351	1.30349	n/a	EC95C2	-15.1680	-0.30336	1.30364	n/a	
0080	85AD	EC930A	-15.1763	-0.30353	1.30347	n/a	EC959E	-15.1684	-0.30337	1.30363	n/a	
0081	85AD	EC948D	-15.1716	-0.30343	1.30357	n/a	EC9558	-15.1692	-0.30338	1.30362	n/a	
0082	85AD	EC9207	-15.1793	-0.30359	1.30341	n/a	EC962F	-15.1667	-0.30333	1.30367	n/a	
0083	85AD	EC9326	-15.1759	-0.30352	1.30348	n/a	EC95E8	-15.1675	-0.30335	1.30365	n/a	
