本文件控制步：	750
1.39708	1.54589	0.43193	0.39244
1.39707	1.54595	0.43205	0.39254
1.39712	1.54595	0.43216	0.39254
1.39712	1.54602	0.43222	0.39253
1.39719	1.54612	0.4323	0.39258
1.39727	1.54621	0.43233	0.39249
1.39729	1.54627	0.43226	0.39241
1.39732	1.54626	0.43224	0.39243
1.39731	1.54624	0.43227	0.39245
1.39733	1.54633	0.43227	0.3924
1.39733	1.54634	0.43231	0.39239
1.39739	1.54642	0.43222	0.39234
1.39744	1.54647	0.43209	0.39223
1.39748	1.54649	0.43193	0.39212
1.39746	1.54649	0.43186	0.39204
1.39747	1.54647	0.43176	0.39196
1.39731	1.54646	0.43178	0.39193
1.39728	1.54652	0.43182	0.39195
1.39725	1.5465	0.4318	0.39186
1.39724	1.54643	0.43181	0.39184
1.17834	1.54497	0.46236	0.39189
0.62377	1.54327	0.61706	0.39193
0.70824	1.54152	0.748	0.3919
0.8076	1.53984	0.85706	0.39181
0.89051	1.53822	0.9457	0.39178
0.95787	1.53659	1.01804	0.39183
1.01276	1.53502	1.07765	0.39186
1.05757	1.5335	1.12587	0.39178
1.09471	1.53198	1.16678	0.3917
1.12538	1.53058	1.20067	0.3917
1.15112	1.52914	1.22916	0.39169
1.17283	1.52775	1.25313	0.39159
1.19131	1.52639	1.27375	0.39148
1.20707	1.52504	1.2915	0.39153
1.22069	1.52373	1.30687	0.39145
1.23253	1.52242	1.32026	0.39152
1.24287	1.52109	1.33207	0.39139
1.25202	1.5198	1.34246	0.39143
1.26006	1.51846	1.35161	0.39137
1.26725	1.5172	1.35986	0.39137
1.27362	1.51591	1.36708	0.39131
1.27938	1.51469	1.37363	0.39126
1.24043	1.51344	1.2364	0.65645
1.05231	1.51219	1.10541	1.03905
1.06941	1.51095	1.13684	1.14696
1.10365	1.50973	1.1761	1.20055
1.13392	1.50849	1.21011	1.23899
1.15895	1.50727	1.23782	1.26933
1.17966	1.50604	1.26104	1.29428
1.19708	1.50487	1.28044	1.31549
1.21178	1.50365	1.29699	1.3332
1.22443	1.5025	1.31137	1.3489
1.23536	1.50133	1.32381	1.36233
1.24493	1.50017	1.33464	1.37407
1.25333	1.49902	1.34419	1.38446
1.26385	1.49793	1.35135	1.39193
1.32276	1.49683	1.34569	1.38614
1.31721	1.3398	1.3928	1.44216
0.98777	1.05109	1.54838	1.59529
1.04977	1.13334	1.58427	1.63707
1.11721	1.21148	1.59284	1.64919
1.16338	1.2643	1.59507	1.6534
1.19427	1.30014	1.59583	1.65527
1.21596	1.32543	1.59619	1.65634
1.23164	1.34404	1.59637	1.65707
1.24379	1.35857	1.59652	1.65768
1.25351	1.37018	1.5966	1.65806
1.26156	1.37981	1.59673	1.65843
1.26814	1.38779	1.59678	1.65874
1.27381	1.39469	1.59686	1.65898
1.2788	1.40078	1.59694	1.6592
1.28334	1.40618	1.59704	1.65947
1.28721	1.41088	1.59713	1.65965
1.29069	1.41523	1.59715	1.65976
1.29398	1.41915	1.59715	1.65988
1.29683	1.42266	1.59712	1.65996
1.29954	1.42597	1.59706	1.66002
1.30203	1.42897	1.59703	1.66013
1.3044	1.43182	1.59705	1.66022
1.30661	1.43455	1.59699	1.66028
1.30864	1.43706	1.597	1.66041
1.31047	1.43924	1.59697	1.66049
1.31222	1.44143	1.59698	1.66058
1.314	1.44361	1.59697	1.66061
1.31556	1.44543	1.59698	1.66073
1.31705	1.44732	1.59692	1.66076
1.31856	1.44921	1.59694	1.66085
